App,Accuracy(%),Duration(s)
VGG19,0.9193277359008789,1018.9350914955139
ResNet50,0.936028003692627,708.8162889480591
DenseNet201,0.927269697189331,1015.9819674491882
InceptionV3,0.9278661608695984,574.1765835285187
MobileNet,0.9259878993034363,506.8271162509918
